block_no	trial_no	trainOrTest	pan	SNR-BaseRate	signal	response	response_type	balance	RT
1	18	0	-0.36157392	2	2	2	3	0	444
1	3	0	0.32572348	2	1	1	1	0	131
1	1	0	-0.13343654	2	1	2	2	0	395
1	21	0	5.9785314e-002	2	2	1	4	0	183
1	4	0	0.41115789	2	1	1	1	0	119
1	11	0	0.14338958	2	2	2	3	0	375
1	39	0	-0.24515448	2	2	2	3	0	442
1	22	0	2.92374151e-002	2	2	1	4	0	624
1	40	0	0.110934445	2	2	2	3	0	507
1	28	0	-0.11709991	2	2	2	3	0	289
1	37	0	-0.26866115	2	2	2	3	0	227
1	16	0	-0.21692743	2	2	2	3	0	233
1	17	0	-0.51336343	2	2	2	3	0	527
1	12	0	-0.16004466	2	2	1	4	0	284
1	25	0	-3.685747e-003	2	2	2	3	0	750
1	29	0	0.1265549	2	2	1	4	0	249
1	5	0	8.040983e-002	2	1	2	2	0	416
1	38	0	3.804655e-003	2	2	2	3	0	1183
1	23	0	0.12556478	2	2	2	3	0	798
1	33	0	-0.32642107	2	2	2	3	0	360
1	31	0	0.39238487	2	2	1	4	0	215
1	7	0	4.8289447e-002	2	1	1	1	0	238
1	13	0	-0.16343062	2	2	2	3	0	161
1	30	0	-0.3923374	2	2	2	3	0	205
1	2	0	3.897111e-002	2	1	1	1	0	620
1	27	0	9.846145e-003	2	2	2	3	0	595
1	32	0	-0.13405107	2	2	2	3	0	480
1	34	0	-0.30900583	2	2	2	3	0	387
1	10	0	-0.26852015	2	1	2	2	0	751
1	8	0	-9.4787042e-002	2	1	2	2	0	363
1	9	0	5.9231832e-002	2	1	1	1	0	510
1	6	0	0.37716521	2	1	1	1	0	358
1	20	0	7.7662687e-002	2	2	2	3	0	290
1	24	0	-0.11987415	2	2	2	3	0	298
1	19	0	-0.18813147	2	2	2	3	0	173
1	15	0	-8.435055e-002	2	2	1	4	0	63
1	14	0	5.2595858e-002	2	2	2	3	0	424
1	36	0	0.18036002	2	2	1	4	0	235
1	35	0	-8.82537e-002	2	2	2	3	0	216
1	26	0	-9.237085e-002	2	2	1	4	0	324
1	97	1	0.23430125	2	2	1	4	0	166
1	44	1	0.49177258	2	1	1	1	10	763
1	87	1	0.10148328	2	1	1	1	20	537
1	239	1	-0.20489549	2	2	2	3	30	320
1	193	1	-7.2891938e-002	2	2	2	3	40	584
1	131	1	-9.552125e-003	2	2	1	4	40	1297
1	180	1	0.13679708	2	2	1	4	40	650
1	56	1	0.27101089	2	1	1	1	50	271
1	123	1	-0.22293854	2	2	2	3	60	323
1	150	1	0.31090784	2	2	1	4	60	286
1	42	1	6.530327e-002	2	1	2	2	60	580
1	170	1	-0.37418168	2	2	2	3	70	107
1	111	1	-0.14637011	2	2	2	3	80	222
1	127	1	-0.30893656	2	2	2	3	90	267
1	171	1	3.812619e-002	2	2	2	3	100	704
1	166	1	0.23477025	2	2	1	4	100	277
1	198	1	-0.41575539	2	2	2	3	110	251
1	236	1	-0.15739022	2	2	2	3	120	286
1	61	1	-0.31615979	2	1	2	2	120	271
1	194	1	-0.41257897	2	2	2	3	130	253
1	229	1	0.17362442	2	2	1	4	130	164
1	173	1	-0.12823814	2	2	2	3	140	1062
1	147	1	-0.33068343	2	2	2	3	150	267
1	155	1	0.39309502	2	2	1	4	150	301
1	182	1	0.17515469	2	2	1	4	150	305
1	107	1	0.19999519	2	2	1	4	150	931
1	223	1	-0.34446059	2	2	2	3	160	289
1	70	1	-0.12956205	2	1	2	2	160	292
1	157	1	-0.11177785	2	2	2	3	170	377
1	93	1	-0.18056689	2	2	2	3	180	591
1	145	1	-1.256602e-003	2	2	1	4	180	927
1	209	1	-0.10430121	2	2	2	3	190	601
1	48	1	-2.14450587e-002	2	1	2	2	190	782
1	240	1	-0.1252625	2	2	2	3	200	316
1	102	1	0.17197381	2	2	1	4	200	350
1	137	1	4.8538174e-002	2	2	1	4	200	538
1	118	1	0.24698144	2	2	1	4	200	333
1	151	1	-3.9912391e-002	2	2	2	3	210	934
1	105	1	0.16613874	2	2	1	4	210	503
1	233	1	-0.26271007	2	2	2	3	220	442
1	205	1	3.7812851e-002	2	2	1	4	220	639
1	104	1	-6.7725371e-002	2	2	2	3	230	355
1	179	1	0.13232658	2	2	1	4	230	339
1	135	1	0.38123648	2	2	1	4	230	241
1	164	1	-5.6115865e-002	2	2	2	3	240	784
1	110	1	-0.60400465	2	2	2	3	250	281
1	65	1	7.6616506e-002	2	1	2	2	250	1290
1	129	1	-7.7074819e-002	2	2	2	3	260	369
1	220	1	-0.14024161	2	2	2	3	270	212
1	212	1	0.2094502	2	2	1	4	270	309
1	96	1	7.906485e-003	2	2	2	3	280	435
1	74	1	0.20143737	2	1	2	2	280	252
1	218	1	-0.3667513	2	2	2	3	290	272
1	46	1	3.1895143e-002	2	1	2	2	290	274
1	130	1	-0.25913425	2	2	2	3	300	253
1	141	1	-0.19059606	2	2	2	3	310	316
1	83	1	0.11998721	2	1	2	2	310	329
1	136	1	8.9528688e-002	2	2	1	4	310	634
1	167	1	2.77255155e-002	2	2	2	3	320	363
1	45	1	8.533867e-002	2	1	2	2	320	445
1	80	1	-0.41113752	2	1	2	2	320	255
1	116	1	-6.8141307e-002	2	2	2	3	330	283
1	52	1	0.10915861	2	1	1	1	340	410
1	90	1	0.15286184	2	1	1	1	350	259
1	156	1	-0.23625364	2	2	2	3	360	110
1	51	1	0.12905279	2	1	1	1	370	263
1	232	1	-0.34927877	2	2	2	3	380	236
1	139	1	-5.4042698e-002	2	2	2	3	390	264
1	210	1	-0.1905236	2	2	2	3	400	218
1	204	1	-3.930458e-003	2	2	1	4	400	820
1	132	1	-0.1088256	2	2	2	3	410	535
1	120	1	-0.16192347	2	2	2	3	420	334
1	186	1	-1.6266538e-002	2	2	2	3	430	400
1	41	1	0.1465883	2	1	1	1	440	276
1	58	1	0.20988084	2	1	1	1	450	460
1	71	1	-6.7074072e-002	2	1	2	2	450	1024
1	109	1	0.38875992	2	2	1	4	450	586
1	201	1	-0.39854532	2	2	2	3	460	375
1	57	1	5.3839892e-002	2	1	1	1	470	336
1	78	1	0.16115781	2	1	1	1	480	344
1	128	1	-0.15553746	2	2	2	3	490	283
1	234	1	-1.3334661e-002	2	2	1	4	490	373
1	53	1	-0.14361708	2	1	2	2	490	279
1	221	1	7.1900582e-002	2	2	1	4	490	268
1	208	1	-0.30894308	2	2	2	3	500	255
1	219	1	-2.4811795e-002	2	2	2	3	510	321
1	203	1	0.18873028	2	2	1	4	510	285
1	77	1	0.26382708	2	1	1	1	520	570
1	75	1	-8.5657077e-002	2	1	2	2	520	206
1	106	1	2.90211464e-002	2	2	1	4	520	1210
1	190	1	-0.49400561	2	2	2	3	530	280
1	63	1	0.22078992	2	1	1	1	540	341
1	200	1	0.22581027	2	2	2	3	550	577
1	100	1	2.46775355e-002	2	2	1	4	550	1112
1	47	1	0.28769504	2	1	2	2	550	512
1	92	1	-0.24881624	2	2	2	3	560	197
1	143	1	5.822371e-003	2	2	2	3	570	371
1	176	1	-3.4424031e-002	2	2	2	3	580	489
1	211	1	-0.21160656	2	2	2	3	590	657
1	122	1	-0.13545935	2	2	2	3	600	197
1	206	1	-0.17500764	2	2	2	3	610	60
1	185	1	0.55325062	2	2	1	4	610	372
1	184	1	-0.39989008	2	2	2	3	620	242
1	88	1	0.16778188	2	1	1	1	630	186
1	178	1	0.28357483	2	2	1	4	630	184
1	68	1	7.3886156e-002	2	1	1	1	640	1822
1	79	1	0.46323678	2	1	1	1	650	279
1	125	1	-0.12511662	2	2	2	3	660	118
1	188	1	-7.8414821e-002	2	2	2	3	670	534
1	149	1	-2.3779708e-002	2	2	2	3	680	472
1	161	1	-0.14545246	2	2	2	3	690	322
1	231	1	-0.16593029	2	2	2	3	700	912
1	153	1	-5.1238193e-002	2	2	2	3	710	293
1	43	1	0.28955137	2	1	1	1	720	249
1	66	1	-8.332836e-003	2	1	2	2	720	247
1	213	1	-0.10341147	2	2	2	3	730	288
1	226	1	-2.6916234e-002	2	2	1	4	730	2128
1	103	1	-0.3011759	2	2	2	3	740	209
